	AS1	AS2	AS3	AS4	BS1	BS2	BS3	BS4	BS5	DM1	DM2	FD1	FD2	FD3	FD4	FD5	FD6	FD7	FD8	FG1	FG2	FG3	FG4	FG5	FG6	RE1	RE2	RE3	RE4	RE5	RE6	RE7	RE8	RF1	RF2	RF3	RF4	LO1	LO2	LO3	LO4	LO5	LO6	LO7	RM1	RM2	RM3	RM4	RM5	MD1	MD2	MD3	MD4	MD5	MD6	MD7	MD8	CP1	CP2	CP3	BF1	BF2	BF3	BF4
32	3	3	3	0	0	0	3	0	0	0	3	2	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	2	0	2	1	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
33	3	3	3	0	0	3	0	0	0	0	3	3	3	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	2	2	0	0	0	3	1	0	0	3	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
34	3	3	1	2	1	1	1	1	0	1	3	1	1	1	1	1	1	2	1	0	1	1	0	1	2	0	1	1	2	1	1	1	0	1	1	1	2	1	1	2	2	1	1	0	1	1	1	3	1	0	0	1	1	1	3	0	0	0	2	2	0	1	2	1
35	3	3	3	0	0	3	0	0	0	0	3	3	3	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	2	2	0	0	0	3	1	0	0	3	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
36	3	3	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
37	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
38	3	3	3	0	0	3	0	0	0	0	3	3	3	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	2	2	0	0	0	3	1	0	0	3	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
39	3	3	3	0	0	0	3	0	0	0	3	3	1	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	1	2	0	0	3	2	1	0	0	3	3	0	0	0	0	3	2	0	0	0	0	0	3	1	0	0	0	3	0
40	3	3	3	0	0	0	3	0	0	0	3	3	1	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	1	2	0	0	3	2	1	0	0	3	3	0	0	0	0	3	2	0	0	0	0	0	3	1	0	0	0	3	0
41	3	3	3	0	0	0	3	0	0	0	3	3	1	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	1	2	0	0	3	2	1	0	0	3	3	0	0	0	0	3	2	0	0	0	0	0	3	1	0	0	0	3	0
42	3	3	3	0	0	0	3	0	0	0	3	2	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	2	0	2	1	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
43	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
44	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
45	3	3	1	2	1	1	1	1	0	1	3	1	1	1	1	1	1	2	1	0	1	1	0	1	2	0	1	1	2	1	1	1	0	1	1	1	2	1	1	2	2	1	1	0	1	1	1	3	1	0	0	1	1	1	3	0	0	0	2	2	0	1	2	1
46	3	3	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	3	0	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
47	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
48	3	3	3	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	3	0	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
49	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
50	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
51	3	3	3	0	0	0	3	0	0	0	3	3	1	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	1	2	0	0	3	2	1	0	0	3	3	0	0	0	0	3	2	0	0	0	0	0	3	1	0	0	0	3	0
52	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
53	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
54	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
55	3	3	1	2	1	1	1	1	0	1	3	1	1	1	1	1	1	2	1	0	1	1	0	1	2	0	1	1	2	1	1	1	0	1	1	1	2	1	1	2	2	1	1	0	1	1	1	3	1	0	0	1	1	1	3	0	0	0	2	2	0	1	2	1
56	3	3	3	0	0	0	3	0	0	0	3	3	1	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	0	0	0	0	1	0	1	2	0	0	3	2	1	0	0	3	3	0	0	0	0	3	2	0	0	0	0	0	3	1	0	0	0	3	0
57	3	3	3	0	0	3	0	0	0	0	3	3	3	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	2	2	0	0	0	2	0	2	2	0	0	0	3	1	0	0	3	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
58	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
59	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
60	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
61	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
62	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
63	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
64	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
65	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
66	3	3	1	2	1	1	1	1	0	1	3	1	1	1	1	1	1	2	1	0	1	1	0	1	2	0	1	1	2	1	1	1	0	1	1	1	2	1	1	2	2	1	1	0	1	1	1	3	1	0	0	1	1	1	3	0	0	0	2	2	0	1	2	1
67	3	3	3	0	0	3	2	0	0	0	3	3	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	1	0	0	0	1	0	1	2	0	0	2	2	1	0	0	1	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
68	3	3	3	0	0	3	2	0	0	0	3	3	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	1	0	0	0	1	0	1	2	0	0	2	2	1	0	0	1	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
69	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
70	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
71	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
72	3	3	3	0	1	2	2	0	0	0	3	2	1	0	2	0	0	0	1	2	0	0	0	0	1	0	0	0	2	2	0	0	0	1	0	1	2	0	0	2	2	2	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
73	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
74	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
75	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
76	3	3	3	0	0	3	2	0	0	0	3	3	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	1	0	0	0	1	0	1	2	0	0	2	2	1	0	0	1	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
77	3	3	1	2	1	1	1	1	0	1	3	1	1	1	1	1	1	2	1	0	1	1	0	1	2	0	1	1	2	1	1	1	0	1	1	1	2	1	1	2	2	1	1	0	1	1	1	3	1	0	0	1	1	1	3	0	0	0	2	2	0	1	2	1
78	3	3	3	0	0	3	2	0	0	0	3	3	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	1	0	0	0	1	0	1	2	0	0	2	2	1	0	0	1	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
79	3	3	3	0	0	3	2	0	0	0	3	3	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	1	0	0	0	1	0	1	2	0	0	2	2	1	0	0	1	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
80	3	3	3	0	0	3	0	0	0	0	3	3	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	1	0	0	0	1	0	1	2	0	0	2	2	1	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
81	3	3	3	0	0	3	2	0	0	0	3	3	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	1	0	0	0	1	0	1	2	0	0	2	2	1	0	0	1	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
82	3	3	3	0	0	3	2	0	0	0	3	3	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	1	0	0	0	1	0	1	2	0	0	2	2	1	0	0	1	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
83	3	3	3	0	0	3	2	0	0	0	3	3	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	1	0	0	0	1	0	1	2	0	0	2	2	1	0	0	1	3	0	0	0	0	2	2	0	0	0	0	0	3	1	0	0	0	3	0
84	3	3	3	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	2	2	0	0	0	0	0	2	2	0	0	3	2	3	0	0	3	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
85	3	3	3	0	0	3	0	0	0	0	3	3	2	0	3	0	0	0	0	3	0	1	0	0	0	0	0	1	3	1	0	0	0	1	0	1	2	0	0	2	2	1	0	0	1	3	0	0	0	3	0	0	0	0	0	0	0	3	1	0	0	0	3	0
86	3	3	3	0	1	2	2	0	0	0	3	3	3	0	3	0	0	0	2	3	0	1	0	0	2	0	0	1	2	2	0	0	0	2	0	2	1	0	0	3	2	1	0	0	3	3	0	0	0	2	2	2	0	0	0	0	0	3	1	0	0	0	3	0
87	3	3	1	2	1	1	1	1	0	1	3	1	1	1	1	1	1	2	1	0	1	1	0	1	2	0	1	1	2	1	1	1	0	1	1	1	2	1	1	2	2	1	1	0	1	1	1	3	1	0	0	1	1	1	3	0	0	0	2	2	0	1	2	1
88	3	3	3	0	0	0	0	3	0	3	1	2	3	1	3	0	0	0	0	1	0	1	3	0	0	0	0	0	2	2	0	0	0	1	0	1	2	0	0	0	3	1	0	3	3	3	0	0	0	0	3	0	0	0	0	0	3	3	1	0	0	0	3	0
89	3	3	3	0	0	3	0	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
90	3	3	3	0	0	3	0	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
91	3	3	3	0	0	3	0	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	3	0	0	0	0	1	3	1	0	0	0	3	0
92	3	3	3	0	0	0	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	0	0	0	0	0	1	3	1	0	0	0	3	0
93	3	3	3	0	0	0	3	1	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
94	3	3	3	0	0	0	3	1	0	3	1	3	3	1	3	1	0	0	0	1	0	1	3	0	0	0	0	0	1	3	1	0	0	1	0	1	2	0	0	0	3	1	1	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
95	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
96	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
97	3	3	1	2	1	1	1	1	0	1	3	1	1	1	1	1	1	2	1	0	1	1	0	1	2	0	1	1	2	1	1	1	0	1	1	1	2	1	1	2	2	1	1	0	1	1	1	3	1	0	0	1	1	1	3	0	0	0	2	2	0	1	2	1
98	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
99	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
100	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
101	3	3	3	0	0	1	2	1	0	3	1	2	2	1	3	1	1	1	1	1	1	1	2	1	1	0	1	0	2	2	1	0	1	1	0	1	2	0	0	1	3	1	1	2	3	1	0	0	0	1	1	1	0	0	0	0	2	3	1	0	0	0	3	0
102	3	3	3	0	0	1	3	0	0	3	1	3	3	1	3	0	0	0	0	2	2	2	2	0	0	0	0	0	2	2	0	0	1	1	0	1	2	0	0	0	3	1	1	1	3	1	0	0	0	2	0	1	0	0	0	0	1	3	1	0	0	0	3	0
103	3	3	3	0	0	0	3	0	0	3	1	2	3	1	3	0	0	0	0	1	0	1	3	0	0	0	0	0	2	2	0	0	0	1	0	1	2	0	0	0	3	1	0	3	3	1	0	0	0	0	0	0	0	0	0	0	3	3	1	0	0	0	3	0
