	Axis.1	Axis.2	Axis.3	Axis.4	Axis.5	Axis.6	Axis.7	Axis.8	Axis.9	Axis.10	Axis.11	Axis.12	Axis.13	Axis.14	Axis.15	Axis.16	Axis.17	Axis.18	Axis.19	Axis.20	Axis.21	Axis.22	Axis.23	Axis.24	Axis.25	Axis.26	Axis.27	Axis.28	Axis.29	Axis.30	Axis.31	Axis.32	Axis.33	Axis.34	Axis.35	Axis.36	Axis.37	Axis.38	Axis.39	Axis.40	Axis.41	Axis.42	Axis.43	Axis.44	Axis.45	Axis.46	Axis.47	Axis.48	Axis.49	Axis.50	Axis.51	Axis.52	Axis.53	Axis.54	Axis.55	Axis.56	Axis.57	Axis.58	Axis.59	Axis.60	Axis.61
FG2	-0.271591014	0.473467915	-0.066432866	0.501189064	-0.104461275	-0.130281188	0.115617224	-0.003106123	-0.040622087	0.175632927	0.092748679	0.24628872	0.212808677	0.119961131	0.197639291	-0.050030305	-0.079915299	-0.199305844	0.07004341	-0.109862702	0.178542587	0.118965968	0.000117432	-0.037887279	0.067783884	-0.069353115	0.112339015	0.00865262	-0.176630253	0.098229644	0.038393866	-0.009282806	0.126430586	0.007943777	-0.008941148	0.007974376	-0.002298565	0.017861153	-0.02444128	-0.043369408	-0.040597147	0.001876734	-0.008127213	-0.002312869	-0.026958302	-0.001192945	-0.005635361	0.043743277	0.001886715	0.010976737	-0.02268886	-0.033063666	0.020958545	-0.012148776	-0.017818697	0.021409398	-0.011281324	0.021875807	-0.004170056	-0.003112239	-0.005720692
FG3	0.078649911	0.65572848	-0.137537481	0.141314079	-0.337582887	-0.096801343	0.085167679	0.317140349	-0.188120804	0.117506541	-0.00152139	-0.071438354	-0.196501995	0.051272645	0.094586573	-0.098935627	-0.200505668	0.101078636	0.066133175	-0.006622474	0.072737535	-0.03936013	0.046762455	-0.12714148	-0.012625097	-0.098351186	-0.006858841	-0.1328292	0.146214931	-0.017790588	-0.113459435	-0.04921008	-0.004227994	0.038256078	-0.086023891	-0.00510785	-0.004793366	0.015957518	0.027497807	0.09458743	-0.052315062	0.009268929	-0.087064463	-0.04185201	0.002638462	-0.001997132	-0.018794953	0.005206346	-0.006719087	0.0394157	-0.027815253	-0.00749682	-0.001865125	0.015888223	0.02702213	0.004939763	-0.00172473	-0.001460594	0.006309311	-0.006544045	-0.002161804
FG4	0.569730664	0.164228276	-0.410317349	0.054758115	0.074875948	-0.281351477	-0.132430632	-0.109902888	-0.305543801	-0.036557344	0.174735306	0.106091274	0.257802007	-0.079857024	0.209532992	0.015833995	-0.045220716	-0.158799152	-0.158710868	-0.007139848	-0.055028918	-0.00933741	0.028315226	0.054538604	-0.03875358	0.095626249	-0.0667395	0.006188678	0.064788467	-0.0446709	0.028066677	0.000712214	0.045938419	0.007724613	-0.046639771	0.022818238	-0.015752352	-0.028695098	-0.070385071	0.057892672	0.029442695	-0.018069922	0.038880082	-0.008549024	-0.017385449	-0.018524783	0.024229241	0.035897856	-0.033646332	-0.027860313	0.022652427	-0.046850951	-0.041509617	0.012999945	0.015461985	0.010355745	0.019297916	-0.018738429	0.019373426	-0.014909368	-0.003457789
FG5	-0.376918713	0.261907609	-0.281956215	0.032827144	0.124379045	0.132414181	-0.579832359	-0.128963975	0.073313692	-0.15865188	0.083254607	0.078734662	-0.223445286	0.119378841	-0.07788046	0.039930394	0.314903777	-0.015718705	-0.029021526	-0.189319943	0.039784303	-0.061385823	0.123800758	0.012320929	-0.050727896	-0.076436162	-0.064165949	-0.085192672	-0.078732052	0.041833056	-0.039487162	-0.022414632	-0.009040958	-0.049176656	0.056131154	-0.044103992	0.010550555	0.023711799	-0.040306485	0.00116254	-0.009469262	-0.018009267	0.004558773	-0.008917636	0.047647845	0.024397852	0.019322709	0.036496994	0.007904031	0.021871581	-0.033863755	0.021735015	-0.023440441	-0.012748936	0.020680767	0.032452752	0.033018306	-0.014194467	-0.002631489	0.000184455	-0.008792852
FG6	-0.43072457	0.070932006	-0.014998113	-0.358864532	0.205382205	0.594532799	-0.028636903	-0.004782606	-0.043103445	0.222790759	0.232825589	-0.120899162	0.081384851	-0.16890808	-0.004170358	-0.180090984	-0.083650203	-0.068960477	0.119614139	-0.011234144	0.102379093	0.025417224	0.038143243	0.000625743	-0.039082898	0.070917965	0.079696588	-0.017919338	0.050832925	-0.079280164	0.037492011	0.029932973	0.103010013	-0.02615638	-0.028160589	-0.024085947	-0.009878891	0.084434633	0.021244318	0.013976945	-0.04284765	0.024629939	0.031034867	0.015483661	0.003512096	-0.022620128	0.001448836	-0.027155527	0.061569353	0.005016152	0.017240304	-0.011920088	0.013332281	0.018378094	-0.008425597	0.01142387	0.037483932	-0.024988595	-0.019959157	0.003114742	0.006283275
RE1	-0.214414935	0.297281115	-0.365359525	-0.013699896	0.57592551	-0.148675369	-0.087851816	0.088989093	0.164873553	0.115794253	0.06250145	-0.210587861	0.239638217	0.217552608	0.079828083	0.195387369	0.023089544	-0.039193427	0.036461871	0.038596753	0.103474524	-0.013574242	-0.116756738	0.05229828	-0.037062418	-0.016654564	-0.079203488	-0.094014627	-0.038468696	-0.174593891	-0.007598941	0.120183026	-0.001481124	0.051943519	-0.063119565	-0.028466097	0.065015698	-0.060529648	0.005162797	-0.069026625	-0.007799316	0.041573	-0.051996656	0.005367947	-0.001578477	0.03753266	-0.021536355	-0.001688864	-0.013192662	0.00507986	0.033505139	0.024701412	0.007187386	-0.010125999	0.012091487	0.005461428	-0.001634381	-0.007666491	-0.005755515	-0.003771821	-0.00986164
RE2	0.196167321	-0.0416451	-0.504163611	-0.005625986	0.253239586	0.115628343	0.453051533	-0.343007711	0.165089677	0.069330173	0.206215908	0.021110989	-0.276265225	-0.057460631	0.127189769	-0.059597532	0.061721763	-0.079988359	-0.00900151	-0.159088711	0.044939195	-0.084464408	0.061550645	0.106423509	-0.05300418	0.013327097	0.026775918	0.046299874	0.042158353	-0.096584388	0.022652922	-0.074498133	-0.11882491	0.12383809	0.056595337	0.009876986	-0.017667892	-0.009558201	0.048995738	-0.015358134	-0.010055966	-0.028191488	0.042769418	-0.049537254	-0.010207623	0.05821103	-0.003820455	-0.009471929	0.005572797	-0.000453175	-0.005012882	-0.020324512	0.02357399	0.033801769	-0.00815627	0.026687566	-0.012281716	0.012207194	0.000544275	-0.007723086	-0.004600724
RE3	0.118951049	0.080230873	-0.468041479	-0.065135128	0.100842714	0.234137221	0.362371315	0.415578303	0.22996653	-0.237949485	-0.014682946	-0.064858917	-0.050400704	0.014592631	0.26778581	0.008972514	0.043698432	0.062004433	-0.233019316	-0.035392228	-0.090211544	0.006385256	0.055957199	0.204395834	0.093579226	-0.110859653	0.073109067	0.130568809	0.03197557	0.072796634	-0.008251253	0.040914986	-0.000578575	-0.049327392	-0.12295292	-0.02080405	0.065449256	0.066637924	-0.023328763	0.015533372	0.017132634	-0.027587999	0.009970752	0.007233508	0.02133678	0.002450461	-0.038559554	-0.011835092	0.028693589	0.016362718	0.009348637	-0.006152716	-0.004134876	-0.017146506	-0.006187829	-0.007273177	0.010636636	-0.001887464	-1.07E-05	0.000844953	-0.01529216
RE4	-0.269262846	0.253054688	0.382955916	0.223159481	-0.38874844	0.079215918	-0.28439267	0.402235261	-0.186362255	-0.047097408	0.05266139	0.048493899	0.008517028	-0.098812515	-0.094024679	0.137326634	0.169222576	-0.161843768	0.028917682	-0.044306803	0.084677336	0.037526819	-0.114541998	-0.088979327	0.151617132	-0.086833188	-0.130112826	0.013943155	-0.022513693	-0.035969909	0.116021867	-0.001965939	-0.082336367	0.02440942	-0.064781311	0.008841117	-0.023879051	0.078138245	0.064882348	0.024164175	0.040743956	0.008059811	0.02764856	0.013774123	-0.014484276	0.080335293	0.009392406	-0.037136418	0.003043972	0.017322031	0.033386783	-0.028000831	-0.025838851	0.012718392	-0.007583546	0.004773513	0.001910912	0.010350934	0.001581025	0.001293224	-0.000488797
RE5	0.249558793	0.278384407	0.114609879	0.272643565	-0.317609399	0.23925358	-0.093792956	-0.184985611	0.126177541	0.004967341	-0.285369656	0.035305339	0.540316386	-0.158269407	-0.174060656	-0.152672061	-0.042589114	-0.010073418	0.125209817	0.014853889	-0.017006921	-0.055510331	0.009970642	0.059504508	-0.000264038	-0.114302107	0.115923488	0.044306205	0.130742188	0.012452292	-0.062770737	-0.088843907	0.02624776	0.038578975	0.020623212	-0.025118362	0.052338161	-0.046549366	0.039403954	-0.052440702	0.010132037	-0.014829309	0.013745551	0.001004449	0.033581754	0.049508385	-0.002249141	-0.03064822	0.009397199	-0.019538943	-0.008438153	0.00025906	-0.030608197	-0.01049012	0.019893397	0.020211295	0.008124338	-0.004073832	0.005033041	0.001578898	-0.007903438
